"parent","command","UIC","echelon"
"COMMANDER, AMPHIBIOUS SQUADRON (COMPHIBRON) FOUR","CARTER HALL (DOCK LANDING SHIP)LSD 50","21880",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMPHIBRON SIX","55337",4
"COMPHIBRON SIX","FLEET SURGICAL TEAM 2","47419",5
"COMPHIBRON SIX","FLTSURGTEAM 8","39846",5
"COMPHIBRON SIX","FORT MCHENRY LSD 43","21400",5
"COMPHIBRON SIX","WHIDBEY ISLAND LSD 41","21218",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMPHIBRON EIGHT","55338",4
"COMPHIBRON EIGHT","FLTSURGTEAM 6","49342",5
"COMPHIBRON EIGHT","OAK HILL LSD 51","21958",5
"COMPHIBRON EIGHT","GUNSTON HALL LSD 44","21422",5
"COMPHIBRON EIGHT","TORTUGA LSD 46","21562",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","NAVAL BEACH GROUP 2","57067",4
"NAVAL BEACH GROUP 2","ASSAULT CRAFT UNIT (ACU) TWO","53210",5
"NAVAL BEACH GROUP 2","ACU FOUR","45472",5
"NAVAL BEACH GROUP 2","BEACH MASTSER UNIT (BMU) TWO","53211",5
"NAVAL BEACH GROUP 2","AMPHIBIOUS CONSTRUCTION BATTALION (PHIBCB) TWO","55105",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","TACTICAL AIR CONTROL SQUADRON (TACRON) VTC 21","09807",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","VTC 22","09812",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","41145",4
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","SURFACE DIVISION TWO ONE","36047",5
"SURFACE DIVISION TWO ONE","MILWAUKEE LCS 5","20134",6
"SURFACE DIVISION TWO ONE","DETROIT LCS 7","20136",6
"SURFACE DIVISION TWO ONE","LITTLE ROCK LCS 9","20138",6
"SURFACE DIVISION TWO ONE","SIOUX CITY LCS 11","20140",6
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","MINE DIVISION TWO TWO","4736A",5
"MINE DIVISION TWO TWO","WICHITA LCS 13","20142",6
"MINE DIVISION TWO TWO","BILLINGS LCS 15","20096",6
"MINE DIVISION TWO TWO","INDIANAPOLIS LCS 17","20155",6
"MINE DIVISION TWO TWO","ST LOUIS LCS 19","20157",6
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","MINNEAPOLIS ST PAUL LCS 21","20159",5
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","COOPERSTOWN LCS 23","20161",5
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","MARINETTE LCS 25)","20169",5
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","NANTUCKET LCS 27)","20171",5
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","BELOIT LCS 29)","20173",5
"LITTORAL COMBAT SHIP SQUADRON (LCSRON) TWO","CLEVELAND CS 31)","20260",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","NAVSURFRON FIVE","40278",4
"NAVSURFRON FIVE","SENTRY MCM 3","21404",5
"NAVSURFRON FIVE","DEVASTATOR MCM 6","21427",5
"NAVSURFRON FIVE","GLADIATOR MCM 11","21454",5
"NAVSURFRON FIVE","DEXTROUS MCM 13","21901",5
"NAVSURFRON FIVE","TEMPEST PC 2","21931",5
"NAVSURFRON FIVE","HURRICANE PC 3","21932",5
"NAVSURFRON FIVE","MONSOON PC 4","21925",5
"NAVSURFRON FIVE","TYPHOON PC 5","21926",5
"NAVSURFRON FIVE","SIROCCO PC 6","21927",5
"NAVSURFRON FIVE","SQUALL PC 7","21928",5
"NAVSURFRON FIVE","CHINOOK PC 9","22143",5
"NAVSURFRON FIVE","FIREBOLT PC 10","22144",5
"NAVSURFRON FIVE","WHIRLWIND PC 11","22145",5
"NAVSURFRON FIVE","THUNDERBOLT PC 12","22146",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMMANDER, AFLOAT TRAINING GROUP ATLANTIC (COMAFLOATRAGRULANT)","0022A",4
"COMMANDER, AFLOAT TRAINING GROUP ATLANTIC (COMAFLOATRAGRULANT)","AFLOATRAGRU NORFOLK","30733",5
"COMMANDER, AFLOAT TRAINING GROUP ATLANTIC (COMAFLOATRAGRULANT)","AFLOATRAGRU MAYPORT","30734",5
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, SUBMARINE FORCE, ATLANTIC","57016",3
"COMMANDER, SUBMARINE FORCE, ATLANTIC","COMMANDER, SUBMARINE GROUP TWO","0010A",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBLANT SHIPYARD REPRESENTATIVE (REP) NEWPORT NEWS VA (DISEST EFF 1 OCT 2021)","4318A",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBLANT SHIPYARD REP GROTON CT","48518",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBLANT SHIPYARD REP PORTSMOUTH NH","41906",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBLANT SHIPYARD REP PORTSMOUTH VA","44436",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","NAVAL SUBMARINE SUPPORT CENTER (NAVSUBSUPPCEN) GROTON","31610",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","REGIONAL SUPPORT GROUP (REGSUPPGRU) GROTON","40018",4
"REGIONAL SUPPORT GROUP (REGSUPPGRU) GROTON","NAVAL SUBMARINE SUPPORT FACILITY (NAVSUBSUPFAC) NEW LONDON **","68316",5
"REGIONAL SUPPORT GROUP (REGSUPPGRU) GROTON","SUBMARINE TECHNICAL SUPPORT CENTER (SUBTECHSUPCEN)","0034A",5
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE SQUADRON 12","55727",4
"SUBMARINE SQUADRON 12","TOLEDO (ATTACK SUBMARINE) SSN 769","21807",5
"SUBMARINE SQUADRON 12","SAN JUAN SSN 751","21312",5
"SUBMARINE SQUADRON 12","PROVIDENCE SSN 719","21029",5
"SUBMARINE SQUADRON 12","HARTFORD SSN 768","21806",5
"SUBMARINE SQUADRON 12","CALIFORNIA SSN 781","20079",5
"SUBMARINE SQUADRON 12","DELAWARE SSN 791","27153",5
"SUBMARINE SQUADRON 12","TEXAS SSN 775","23028",5
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE SQUADRON 2 (ESTAB EFF 1 OCT 2021)","6691G",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE SQUADRON 4","55729",4
"SUBMARINE SQUADRON 4","MINNESOTA SSN 783","20034",5
"SUBMARINE SQUADRON 4","NORTH DAKOTA SSN 784","20037",5
"SUBMARINE SQUADRON 4","MONTPELIER SSN 765","21762",5
"SUBMARINE SQUADRON 4","COLORADO SSN 788","27150",5
"SUBMARINE SQUADRON 4","INDIANA SSN 789","27151",5
"SUBMARINE SQUADRON 4","VIRGINIA SSN 774","23013",5
"SUBMARINE SQUADRON 4","SOUTH DAKOTA SSN 790","27152",5
"SUBMARINE SQUADRON 4","DELAWARE SSN 791","27153",5
"SUBMARINE SQUADRON 4","VERMONT SSN 792","27154",5
"SUBMARINE SQUADRON 4","NEWPORT NEWS SSN 750","21411",5
"SUBMARINE SQUADRON 4","ALBANY SSN 753","21462",5
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE SQUADRON 6","55730",4
"SUBMARINE SQUADRON 6","BOISE SSN 764","21761",5
"SUBMARINE SQUADRON 6","HELENA SSN 725","21367",5
"SUBMARINE SQUADRON 6","JOHN WARNER SSN 785","20038",5
"SUBMARINE SQUADRON 6","WASHINGTON SSN 787","20182",5
"SUBMARINE SQUADRON 6","SAN FRANCISCO SSN 711","20887",5
"SUBMARINE SQUADRON 6","NEW HAMPSHIRE SSN 778","23172",5
"SUBMARINE SQUADRON 6","PASADENA SSN 752","21413",5
"SUBMARINE SQUADRON 6","NEW MEXICO SSN 779","23183",5
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE SQUADRON 8 (ESTAB EFF 1 OCT 2021)","6699G",4
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE GROUP 8","55782",4
"SUBMARINE GROUP 8","SUBGRU 8 REP NORTHWOOD UK","30751",5
"COMMANDER, SUBMARINE FORCE, ATLANTIC","SUBMARINE GROUP 10","55241",4
"SUBMARINE GROUP 10","SUBSUPPCEN KINGS BAY","61107",5
"SUBMARINE GROUP 10","TRIDENT REFIT FACILITY **","44466",5
"SUBMARINE GROUP 10","SUBMARINE SQUADRON 16","55432",5
"SUBMARINE SQUADRON 16","FLORIDA (GUIDED MISSILE SUBMARINE) SSGN 728","21038",6
"SUBMARINE SQUADRON 16","GEORGIA SSGN 729","21039",6
"SUBMARINE GROUP 10","SUBMARINE SQUADRON 20","63976",5
"SUBMARINE SQUADRON 20","TENNESSEE (FLEET BALLISTIC MISSILE SUBMARINE) SSBN 734","21044",6
"SUBMARINE SQUADRON 20","ALASKA SSBN 732","21042",6
"SUBMARINE SQUADRON 20","WEST VIRGINIA SSBN 736","21365",6
"SUBMARINE SQUADRON 20","MARYLAND SSBN 738","21460",6
"SUBMARINE SQUADRON 20","RHODE ISLAND SSBN 740","21682",6
"SUBMARINE SQUADRON 20","WYOMING SSBN 742","21846",6
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","4582A",3
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","NAVY EXPEDITIONARY INTELLIGENCE COMMAND (NAVEXINTCOM)","33800",4
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","NAVAL EXPEDITIONARY COMBAT FORCES EURAF","4974A",4
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","COMMANDER, MARITIME EXPEDITIONARY SECURITY GROUP (MESG) TWO","4365A",4
"COMMANDER, MARITIME EXPEDITIONARY SECURITY GROUP (MESG) TWO","MAREXSEC SQUADRON (MSRON) TWO","3371B",5
"MAREXSEC SQUADRON (MSRON) TWO","MSRON TWO MK VI COMPANY ALPHA","36080",6
"MSRON TWO MK VI COMPANY ALPHA","MSRON TWO MK VI COMP ALPHA BOAT CREW 1","36087",7
"MSRON TWO MK VI COMPANY ALPHA","MSRON TWO MK VI COMP ALPHA BOAT CREW 2","36088",7
"MSRON TWO MK VI COMPANY ALPHA","MSRON TWO MK VI COMP ALPHA BOAT CREW 3","36089",7
"MAREXSEC SQUADRON (MSRON) TWO","MSRON TWO MK VI COMPANY BRAVO","36081",6
"MSRON TWO MK VI COMPANY BRAVO","MSRON TWO MK VI COMP BRAVO BOAT CREW 1","36090",7
"MSRON TWO MK VI COMPANY BRAVO","MSRON TWO MK VI COMP BRAVO BOAT CREW 2","36091",7
"MSRON TWO MK VI COMPANY BRAVO","MSRON TWO MK VI COMP BRAVO BOAT CREW 3","36092",7
"COMMANDER, MARITIME EXPEDITIONARY SECURITY GROUP (MESG) TWO","MSRON FOUR","30671",5
"MSRON FOUR","MSRON FOUR MK VI COMPANY ALPHA","36082",6
"MSRON FOUR MK VI COMPANY ALPHA","MSRON FOUR MK VI COMP ALPHA BOAT CREW 1","36093",7
"MSRON FOUR MK VI COMPANY ALPHA","MSRON FOUR MK VI COMP ALPHA BOAT CREW 2","36094",7
"MSRON FOUR MK VI COMPANY ALPHA","MSRON FOUR MK VI COMP ALPHA BOAT CREW 3","36095",7
"MSRON FOUR","MSRON FOUR MK VI COMPANY BRAVO","36083",6
"MSRON FOUR MK VI COMPANY BRAVO","MSRON FOUR MK VI COMP BRAVO BOAT CREW 1","36096",7
"MSRON FOUR MK VI COMPANY BRAVO","MSRON FOUR MK VI COMP BRAVO BOAT CREW 2","36097",7
"MSRON FOUR MK VI COMPANY BRAVO","MSRON FOUR MK VI COMP BRAVO BOAT CREW 3","36098",7
"COMMANDER, MARITIME EXPEDITIONARY SECURITY GROUP (MESG) TWO","MSRON EIGHT","30665",5
"COMMANDER, MARITIME EXPEDITIONARY SECURITY GROUP (MESG) TWO","MSRON TEN","30667",5
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","NAVAL CONSTRUCTION GROUP (NCG) TWO","55460",4
"NAVAL CONSTRUCTION GROUP (NCG) TWO","UNDER WATER CONSTRUCTION TEAM (UCT) ONE","30121",5
"NAVAL CONSTRUCTION GROUP (NCG) TWO","NAVY MOBILE CONSTRUCTION BATTALION (NMCB) 1","55101",5
"NAVAL CONSTRUCTION GROUP (NCG) TWO","NMCB 11","4608A",5
"NAVAL CONSTRUCTION GROUP (NCG) TWO","NMCB 133","55451",5
"NAVAL CONSTRUCTION GROUP (NCG) TWO","CONSTRUCTION BATTALION MAINTENANCE UNIT (CBMU) 202","55643",5
"NAVAL CONSTRUCTION GROUP (NCG) TWO","SEVENTH NAVAL CONSTRUCTION REGIMENT (NCR)","81387",5
"SEVENTH NAVAL CONSTRUCTION REGIMENT (NCR)","NMCB 27","08867",6
"SEVENTH NAVAL CONSTRUCTION REGIMENT (NCR)","NMCB 14","08913",6
"NAVAL CONSTRUCTION GROUP (NCG) TWO","TWO TWO NCR","55614",5
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","COMMANDER, NAVY EXPEDITIONARY LOGISTICS SUPPORT GROUP (COMNAVELSG)","81464",4
"COMMANDER, NAVY EXPEDITIONARY LOGISTICS SUPPORT GROUP (COMNAVELSG)","FIRST NAVY EXPEDITIONARY LOGISTICS REGIMENT (NAVEXPLOGREG)","66895",5
"FIRST NAVY EXPEDITIONARY LOGISTICS REGIMENT (NAVEXPLOGREG)","NAVY CARGO HANDLING BATTALION (NAVCARGOBN) ONE","55132",6
"FIRST NAVY EXPEDITIONARY LOGISTICS REGIMENT (NAVEXPLOGREG)","NAVCARGOBN TEN","40378",6
"FIRST NAVY EXPEDITIONARY LOGISTICS REGIMENT (NAVEXPLOGREG)","NAVCARGOBN EIGHT","81203",6
"COMMANDER, NAVY EXPEDITIONARY LOGISTICS SUPPORT GROUP (COMNAVELSG)","FOURTH NAVEXPLOGREG","49423",5
"FOURTH NAVEXPLOGREG","NAVCARGOBN ELEVEN","82216",6
"FOURTH NAVEXPLOGREG","NAVCARGOBN THIRTEEN","82218",6
"COMMANDER, NAVY EXPEDITIONARY LOGISTICS SUPPORT GROUP (COMNAVELSG)","FIFTH NAVEXPLOGREG","42716",5
"FIFTH NAVEXPLOGREG","NAVCARGOBN FIVE","81125",6
"FIFTH NAVEXPLOGREG","NAVCARGOBN FOURTEEN","82219",6
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","55322",4
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EOD TECHNICAL UNIT 2","43505",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","MOBILE DIVING AND SALVAGE UNIT (MOBDIVSALU) TWO","42838",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EOD MOBILE UNIT (MU) 2","43504",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EODMU 6","55238",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EODMU 8","55568",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EODMU 12","43973",5
"EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP 2","EOD EXPEDITIONARY SUPPORT UNIT (ESU) 2","4068A",5
"COMMANDER, NAVY EXPEDITIONARY COMBAT COMMAND","NAVY EXPEDITIONARY COMBAT FORCES CENTRAL BAHRAIN","49715",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","NAVY MUNITIONS COMMAND ATLANTIC (NMCLANT)","47616",3
"NAVY MUNITIONS COMMAND ATLANTIC (NMCLANT)","NMCLANT UNIT CHARLESTON","00193",4
"NAVY MUNITIONS COMMAND ATLANTIC (NMCLANT)","NMCLANT UNIT NORFOLK","30300",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","00033",3
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMFORT MEDICAL TREATMENT FACILITY (MTF) REDUCED OPERATING STATUS (ROS)","52451",4
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","MERCY MTF ROS","52450",4
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMMANDER MARITIME PRE-POSITIONING SHIP SQUADRON (COMPSRON) TWO","45702",4
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMPSRON THREE","46404",4
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","AMPHIBIOUS COMMAND SHIP (LCC) 20 USS MOUNT WHITNEY (HYBRID CREW) CIVMAR","23754",4
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","MSC TAGOS PROJECT OFFICE","46077",4
"MSC TAGOS PROJECT OFFICE","PCU T-AO 205 USNS JOHN LEWIS","21667",5
"MSC TAGOS PROJECT OFFICE","PCU T-AO 206 USNS HARVEY MILK","21021",5
"MSC TAGOS PROJECT OFFICE","PCU T-AO 207 USNS EARL WARREN","21012",5
"MSC TAGOS PROJECT OFFICE","PCU T-A0 208 USNS ROBERT F KENNEDY","29995",5
"MSC TAGOS PROJECT OFFICE","PCU T-AO 209 USNS LUCY STONE","29996",5
"MSC TAGOS PROJECT OFFICE","PCU T-AO 210 USNS SOJOURNER TRUTH","2999C",5
"MSC TAGOS PROJECT OFFICE","PCU FLEET OCEAN TUG/SALVAGE (T-ATS) 6 USNS NAVAJO","4125A",5
"MSC TAGOS PROJECT OFFICE","PCU T-ATS 7 USNS CHEROKEE NAATION","2930A",5
"MSC TAGOS PROJECT OFFICE","PCU T-ATS 8 USNS SAGINAW OJIBWE ANISHINABEK","29901",5
"MSC TAGOS PROJECT OFFICE","PCU T-EPF 12 USNS APPALACHICOLA","29796",5
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMSC LANT NORFOLK","62385",4
"COMSC LANT NORFOLK","MSC REP PORT CANAVERAL","0308A",5
"COMSC LANT NORFOLK","MSC REP CHARLESTON","68779",5
"COMSC LANT NORFOLK","MSC REP SOUTHPORT","30817",5
"COMSC LANT NORFOLK","MSC REP BEAUMONT","62527",5
"COMSC LANT NORFOLK","MSCLANT OPERATIONAL SUPPORT ELEMENT (OPSUPE)","41083",5
"COMSC LANT NORFOLK","HIGH SPEED TRANSPORT (HST) 2 FORMER HI SUPERFERRY ALAKAI (PRE-DELIVERY (PREDEL))","24047",5
"COMSC LANT NORFOLK","EXPEDITIONARY FAST TRANSPORT (T-EPF) 1 USNS SPEARHEAD","29784",5
"COMSC LANT NORFOLK","T-EPF 10 USNS BURLINGTON","29793",5
"COMSC LANT NORFOLK","T-EPF 11 USNS PUERTO RICO","29794",5
"COMSC LANT NORFOLK","T-EPF 12 (PREDEL) USNS NEWPORT","29795",5
"COMSC LANT NORFOLK","CONTAINER SHIP (T-AK) 3005 UNITED STATES NAVAL SHIP (USNS) SGT MATEJ KOCAK","21547",5
"COMSC LANT NORFOLK","T-AK 3006 USNS PFC EUGENE A OBREGON","21513",5
"COMSC LANT NORFOLK","T-AK 3007 USNS MAJ STEPHEN W PLESS","21631",5
"COMSC LANT NORFOLK","T-AK 3015 USNS 1ST LT HARRY L MARTIN","23005",5
"COMSC LANT NORFOLK","T-AK 3016 USNS LCPL ROY M WHEAT","23068",5
"COMSC LANT NORFOLK","DRY CARGO/AMMUNITION (T-AKE) 5 USNS ROBERT E PEARY","23195",5
"COMSC LANT NORFOLK","T-AKE 12 USNS WILLIAM MCLEAN","29001",5
"COMSC LANT NORFOLK","T-AKE 13 USNS MEDGAR EVERS","29002",5
"COMSC LANT NORFOLK","FLEET REPLENISHMENT OILER (T-AO) 188 USNS JOSHUA HUMPHREYS","21419",5
"COMSC LANT NORFOLK","T-AO 189 USNS JOHN LENTHALL","21377",5
"COMSC LANT NORFOLK","T-AO 193 USNS WALTER S DIEHL","21579",5
"COMSC LANT NORFOLK","T-AO 195 USNS LEROY GRUMMAN","21525",5
"COMSC LANT NORFOLK","T-AO 196 USNS KANAWHA","21581",5
"COMSC LANT NORFOLK","T-AO 198 USNS BIG HORN","21621",5
"COMSC LANT NORFOLK","T-AO 201 USNS PATUXENT","21857",5
"COMSC LANT NORFOLK","T-AO 203 USNS LARAMIE","21870",5
"COMSC LANT NORFOLK","FAST COMBAT SUPPORT (T-AOE) 6 USNS SUPPLY","21839",5
"COMSC LANT NORFOLK","T-AOE 8 USNS ARCTIC","21907",5
"COMSC LANT NORFOLK","FLEET OCEAN TUG (T-ATF) 172 USNS APACHE","21091",5
"COMSC LANT NORFOLK","HOSPITAL SHIP (T-AH) 20 USNS COMFORT","21637",5
"COMSC LANT NORFOLK","AUXILLIARY (T-AG) 5002 USNS VIRGINIA ANN","TBD",5
"COMSC LANT NORFOLK","OCEANOGRAPHIC SURVEY SHIP (T-AGS) 60 USNS PATHFINDER","21904",5
"COMSC LANT NORFOLK","T-AGS 66 USNS MAURY","10544",5
"COMSC LANT NORFOLK","T-AGS 45 USNS WATERS","21903",5
"COMSC LANT NORFOLK","SUBMARINE AND SPECIAL WARFARE SUPPORT (SSV) MOTOR VESSEL (MV) DOLORES CHOUEST","40878",5
"COMSC LANT NORFOLK","T-AGSE WESTWIND","24014",5
"COMSC LANT NORFOLK","T-AGSE BLACK POWDER","24015",5
"COMSC LANT NORFOLK","T-AKR 295 USNS SHUGHART","22241",5
"COMSC LANT NORFOLK","T-AKR 296 USNS GORDON","22242",5
"COMSC LANT NORFOLK","T-AKR 297 USNS YANO","22243",5
"COMSC LANT NORFOLK","T-AKR 298 USNS GILLILAND","22244",5
"COMSC LANT NORFOLK","T-AKR 303 USNS MENDONCA","22249",5
"COMSC LANT NORFOLK","T-AKR 305 USNS BRITTIN","22251",5
"COMSC LANT NORFOLK","T-AKR 310 USNS WATSON","22256",5
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMSC EUROPE AFRICA (EURAF) NAPLES","62537",4
"COMSC EUROPE AFRICA (EURAF) NAPLES","MSC SHIP SUPPORT UNIT (SSU) NAPLES","40444",5
"COMSC EUROPE AFRICA (EURAF) NAPLES","T-EPF 5 USNS TRENTON","29788",5
"COMSC EUROPE AFRICA (EURAF) NAPLES","T-EPF 7 USNS CARSON CITY","29790",5
"COMSC EUROPE AFRICA (EURAF) NAPLES","T-EPF 8 USNS YUMA","29791",5
"COMSC EUROPE AFRICA (EURAF) NAPLES","EXPEDITIONARY SEA BASE (ESB) 4 USS HERSHEL WOODY WILLIAMS (CIVMAR)","24305",5
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMSC CENTRAL COMMAND (CENT) BAHRAIN","68953",4
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","MSC SSU BAHRAIN","40448",5
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","T-AKE 8 USNS WALLY SCHIRRA","23198",5
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","T-ATF 168 USNS CATAWBA","21015",5
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","T-AGS 64 USNS BRUCE C HEEZEN","23131",5
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","T-EPF 2 USNS CHOCTAW COUNTY","29785",5
"COMSC CENTRAL COMMAND (CENT) BAHRAIN","ESB 3 USS LEWIS B PULLER (CIVMAR)","41038",5
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMSC PAC SAN DIEGO","62386",4
"COMSC PAC SAN DIEGO","MSC SSU SAN DIEGO","40443",5
"COMSC PAC SAN DIEGO","MSC REP PEARL HARBOR","62402",5
"COMSC PAC SAN DIEGO","MSC REPRESENTATIVE PUGET SOUND","62384",5
"COMSC PAC SAN DIEGO","EXPEDITIONARY TRANSFER DOCK (ESD) 2 USNS JOHN GLENN","41037",5
"COMSC PAC SAN DIEGO","T-AKE 3 USNS ALAN SHEPARD","23193",5
"COMSC PAC SAN DIEGO","T-AKE 7 USNS CARL BRASHEAR","23197",5
"COMSC PAC SAN DIEGO","T-AKE 10 USNS CHARLES DREW","23602",5
"COMSC PAC SAN DIEGO","T-AKR 300 USNS BOB HOPE","22246",5
"COMSC PAC SAN DIEGO","T-AKR 301 USNS FISHER","22247",5
"COMSC PAC SAN DIEGO","T-AKR 306 USNS BENAVIDEZ","22252",5
"COMSC PAC SAN DIEGO","T-AO 187 USNS HENRY J KAISER","21307",5
"COMSC PAC SAN DIEGO","T-AO 200 USNS GUADALUPE","21856",5
"COMSC PAC SAN DIEGO","T-AO 202 USNS YUKON","21869",5
"COMSC PAC SAN DIEGO","T-ATF 171 USNS SIOUX","21090",5
"COMSC PAC SAN DIEGO","T-AH 19 USNS MERCY","21636",5
"COMSC PAC SAN DIEGO","SSV MV C-COMMANDO","23379",5
"COMSC PAC SAN DIEGO","T-AGSE 4 ARROWHEAD","24013",5
"COMSC PAC SAN DIEGO","T-AGSE E EAGLEVIEW","24016",5
"COMSC PAC SAN DIEGO","MV SPECIAL WARFARE SUPPORT (HOS) DOMINATOR","24102",5
"COMSC PAC SAN DIEGO","MV MALAMA","32205",5
"COMSC PAC SAN DIEGO","SPECIAL MISSION TEST (SBX-1)","24133",5
"COMSC PAC SAN DIEGO","T-EPF 9 USNS CITY OF BISMARCK","29792",5
"COMSC PAC SAN DIEGO","T-ARS 51 USNS GRASP","21467",5
"COMMANDER, MILITARY SEALIFT COMMAND (COMSC) (NAVY WORKING CAPITAL FUND (NWCF), NORFOLK, VA","COMSC FAR EAST SINGAPORE","62461",4
"COMSC FAR EAST SINGAPORE","MSC OFFICE KOREA WCF","0319A",5
"COMSC FAR EAST SINGAPORE","MSCO OKINAWA WCF","0318A",5
"COMSC FAR EAST SINGAPORE","MSC SSU JAPAN","40447",5
"COMSC FAR EAST SINGAPORE","MSC SSU GUAM","40446",5
"COMSC FAR EAST SINGAPORE","MSC SSU SINGAPORE","40445",5
"COMSC FAR EAST SINGAPORE","ESD 1 USNS MONTFORD POINT","41036",5
"COMSC FAR EAST SINGAPORE","T-ARS 51 USNS SALVOR","21468",5
"COMSC FAR EAST SINGAPORE","T-AKE 1 USNS LEWIS AND CLARK","23191",5
"COMSC FAR EAST SINGAPORE","T-AKE 2 USNS SACAGAWEA","23192",5
"COMSC FAR EAST SINGAPORE","T-AKE 4 USNS RICHARD E BYRD","23194",5
"COMSC FAR EAST SINGAPORE","T-AKE 6 USNS AMELIA EARHART","23196",5
"COMSC FAR EAST SINGAPORE","T-AKE 11 USNS WASHINGTON CHAMBERS","23726",5
